KSTRANA;VSTRANA;NAZEVCELK;NAZEV_STRK;ZKRATKAK30;ZKRATKAK8;POCSTRVKO;SLOZENI;STAVREG;PLAT_STR;SLOZNEPLAT;POCMANDCR;NAZEVPLNY
11;687;"ODS a TOP 09";"ODS a TOP 09";"ODS a TOP 09";"ODS+TOP 09";2;"053,721";"2222222022222";"A";"";0;""
12;1;"KDU-ÈSL";"KDU-ÈSL";"KDU-ÈSL";"KDU-ÈSL";1;"001";"2222222200200";"A";"";0;""
13;5;"Strana zelených";"Strana zelených";"Strana zelených";"Zelení";1;"005";"2020222002222";"A";"";0;""
14;1217;"Moravská a Slezská pirátská strana";"Moravská a Slezská pirátská strana";"Morav. a Slez. pirátská strana";"MS Piráti";1;"1217";"1112111112110";"A";"";0;""
15;770;"VÝCHODOÈEŠI";"VÝCHODOÈEŠI";"VÝCHODOÈEŠI";"VÈ";1;"770";"2222222022222";"A";"";0;""
16;1114;"Svoboda a pøímá demokracie (SPD)";"Svoboda a pøímá demokracie (SPD)";"Svoboda a pø. demokracie (SPD)";"SPD";1;"1114";"0000000000000";"A";"";0;""
17;344;"Koalice pro Pardubický kraj";"Koalice pro Pardubický kraj";"Koalice pro Pardubický kraj";"KDU+SNKED+Nestr";3;"001,129,181";"2222222022222";"A";"";0;""
18;79;"Národní demokracie";"Národní demokracie";"Národní demokracie";"ND";1;"079";"2222022222222";"A";"";0;""
19;720;"Èeská pirátská strana";"Èeská pirátská strana";"Èeská pirátská strana";"Piráti";1;"720";"0000000000200";"A";"";0;""
20;703;"Starostové pro Liberecký kraj";"Starostové pro Liberecký kraj";"Starostové pro Liberecký kraj";"SLK";1;"703";"2222202222222";"A";"";0;""
21;1350;"PIRÁTI a STAROSTOVÉ";"PIRÁTI a STAROSTOVÉ";"PIRÁTI a STAROSTOVÉ";"PIRÁTI a STAN";2;"166,720";"2222222222022";"A";"";0;""
22;83;"Moravané, pro zachování Moravy se pøi sèítání lidu 2021 opìt pøihlasme k moravské národnosti";"Moravané-pøi SLDB 2021 se pøihlasme k morav. nár.";"Moravané";"Moravané";1;"083";"0222222020000";"A";"";0;""
23;1237;"VIZE - národní socialisté";"VIZE - národní socialisté";"VIZE - národní socialisté";"VIZENS";1;"1237";"2022022222222";"A";"";0;""
24;1453;"STOP rouškám a likvidaci ekonomiky";"STOP rouškám a likvidaci ekonomiky";"Koalice DSSS, ÈiKR";"DSSS+ÈiKR";2;"156,1021";"2220222222222";"A";"";0;""
